Timestamp,CWND,SSTHRESH,Event
1767350858707,9.78,2,CongestionAvoidance
1767350858724,9.88,2,CongestionAvoidance
1767350858741,9.98,2,CongestionAvoidance
1767350858757,10.08,2,CongestionAvoidance
1767350858774,10.18,2,CongestionAvoidance
1767350858791,10.28,2,CongestionAvoidance
1767350858812,10.38,2,CongestionAvoidance
1767350858825,10.47,2,CongestionAvoidance
1767350858840,10.57,2,CongestionAvoidance
1767350858856,10.66,2,CongestionAvoidance
1767350858871,10.76,2,CongestionAvoidance
1767350858891,10.85,2,CongestionAvoidance
1767350858906,10.94,2,CongestionAvoidance
1767350858957,8.00,5,RenoFastRetransmit
1767350858958,5.00,5,RenoExitFastRecovery
1767350859006,5.00,2,RenoFastRetransmit
1767350859006,2.00,2,RenoExitFastRecovery
1767350859618,1.00,2,Timeout
1767350859620,2.00,2,SlowStart
1767350859621,2.50,2,CongestionAvoidance
1767350859621,2.90,2,CongestionAvoidance
1767350859621,3.24,2,CongestionAvoidance
1767350859633,3.55,2,CongestionAvoidance
1767350859657,3.83,2,CongestionAvoidance
1767350859673,4.10,2,CongestionAvoidance
1767350859689,4.34,2,CongestionAvoidance
1767350859706,4.57,2,CongestionAvoidance
1767350859724,4.79,2,CongestionAvoidance
1767350859741,5.00,2,CongestionAvoidance
1767350859756,5.20,2,CongestionAvoidance
1767350859773,5.39,2,CongestionAvoidance
1767350859791,5.58,2,CongestionAvoidance
1767350859806,5.75,2,CongestionAvoidance
1767350859824,5.93,2,CongestionAvoidance
1767350859840,6.10,2,CongestionAvoidance
1767350859858,6.26,2,CongestionAvoidance
1767350859873,6.42,2,CongestionAvoidance
1767350859891,6.58,2,CongestionAvoidance
1767350859908,6.73,2,CongestionAvoidance
1767350859925,6.88,2,CongestionAvoidance
1767350859939,7.02,2,CongestionAvoidance
1767350859958,7.17,2,CongestionAvoidance
1767350859973,7.30,2,CongestionAvoidance
1767350859989,7.44,2,CongestionAvoidance
1767350860005,7.58,2,CongestionAvoidance
1767350860025,7.71,2,CongestionAvoidance
1767350860041,7.84,2,CongestionAvoidance
1767350860056,7.97,2,CongestionAvoidance
1767350860072,8.09,2,CongestionAvoidance
1767350860090,8.21,2,CongestionAvoidance
1767350860108,8.34,2,CongestionAvoidance
1767350860124,8.46,2,CongestionAvoidance
1767350860141,8.57,2,CongestionAvoidance
1767350860158,8.69,2,CongestionAvoidance
1767350860172,8.81,2,CongestionAvoidance
1767350860190,8.92,2,CongestionAvoidance
1767350860206,9.03,2,CongestionAvoidance
1767350860222,9.14,2,CongestionAvoidance
1767350860241,9.25,2,CongestionAvoidance
1767350860257,9.36,2,CongestionAvoidance
1767350860273,9.47,2,CongestionAvoidance
1767350860291,9.57,2,CongestionAvoidance
1767350860307,9.68,2,CongestionAvoidance
1767350860322,9.78,2,CongestionAvoidance
1767350860342,9.88,2,CongestionAvoidance
1767350860358,9.98,2,CongestionAvoidance
1767350860373,10.08,2,CongestionAvoidance
1767350860392,10.18,2,CongestionAvoidance
1767350860407,10.28,2,CongestionAvoidance
1767350860424,10.38,2,CongestionAvoidance
1767350860439,10.47,2,CongestionAvoidance
1767350860455,10.57,2,CongestionAvoidance
1767350860473,10.66,2,CongestionAvoidance
1767350860491,10.76,2,CongestionAvoidance
1767350860508,10.85,2,CongestionAvoidance
1767350860523,10.94,2,CongestionAvoidance
1767350860539,11.04,2,CongestionAvoidance
1767350860556,11.13,2,CongestionAvoidance
1767350860573,11.22,2,CongestionAvoidance
1767350860589,11.30,2,CongestionAvoidance
1767350860604,11.39,2,CongestionAvoidance
1767350860622,11.48,2,CongestionAvoidance
1767350860631,11.57,2,CongestionAvoidance
1767350860657,11.65,2,CongestionAvoidance
1767350860672,11.74,2,CongestionAvoidance
1767350860691,11.83,2,CongestionAvoidance
1767350860708,11.91,2,CongestionAvoidance
1767350860723,11.99,2,CongestionAvoidance
1767350860740,12.08,2,CongestionAvoidance
1767350860757,12.16,2,CongestionAvoidance
1767350860772,12.24,2,CongestionAvoidance
1767350860791,12.32,2,CongestionAvoidance
1767350860807,12.41,2,CongestionAvoidance
1767350860822,12.49,2,CongestionAvoidance
1767350860840,12.57,2,CongestionAvoidance
1767350860856,12.65,2,CongestionAvoidance
1767350860874,12.72,2,CongestionAvoidance
1767350860890,12.80,2,CongestionAvoidance
1767350860906,12.88,2,CongestionAvoidance
1767350860923,12.96,2,CongestionAvoidance
1767350860940,13.04,2,CongestionAvoidance
1767350860956,13.11,2,CongestionAvoidance
1767350860975,13.19,2,CongestionAvoidance
1767350860991,13.27,2,CongestionAvoidance
1767350861008,13.34,2,CongestionAvoidance
1767350861024,13.42,2,CongestionAvoidance
1767350861039,13.49,2,CongestionAvoidance
1767350861057,13.56,2,CongestionAvoidance
1767350861073,13.64,2,CongestionAvoidance
1767350861089,13.71,2,CongestionAvoidance
1767350861108,13.78,2,CongestionAvoidance
1767350861124,13.86,2,CongestionAvoidance
1767350861141,13.93,2,CongestionAvoidance
1767350861158,14.00,2,CongestionAvoidance
1767350861174,14.07,2,CongestionAvoidance
1767350861190,14.14,2,CongestionAvoidance
1767350861206,14.21,2,CongestionAvoidance
1767350861223,14.28,2,CongestionAvoidance
1767350861241,14.35,2,CongestionAvoidance
1767350861255,14.42,2,CongestionAvoidance
1767350861274,14.49,2,CongestionAvoidance
1767350861295,14.56,2,CongestionAvoidance
1767350861308,14.63,2,CongestionAvoidance
1767350861325,14.70,2,CongestionAvoidance
1767350861339,14.77,2,CongestionAvoidance
1767350861356,14.83,2,CongestionAvoidance
1767350861374,14.90,2,CongestionAvoidance
1767350861393,14.97,2,CongestionAvoidance
1767350861407,15.04,2,CongestionAvoidance
1767350861424,15.10,2,CongestionAvoidance
1767350861439,15.17,2,CongestionAvoidance
1767350861457,15.23,2,CongestionAvoidance
1767350861473,15.30,2,CongestionAvoidance
1767350861490,15.37,2,CongestionAvoidance
1767350861506,15.43,2,CongestionAvoidance
1767350861523,15.50,2,CongestionAvoidance
1767350861541,15.56,2,CongestionAvoidance
1767350861556,15.62,2,CongestionAvoidance
1767350861573,15.69,2,CongestionAvoidance
1767350861590,15.75,2,CongestionAvoidance
1767350861607,15.82,2,CongestionAvoidance
1767350861627,15.88,2,CongestionAvoidance
1767350861641,15.94,2,CongestionAvoidance
1767350861658,16.00,2,CongestionAvoidance
1767350861674,16.07,2,CongestionAvoidance
1767350861692,16.13,2,CongestionAvoidance
1767350861708,16.19,2,CongestionAvoidance
1767350861725,16.25,2,CongestionAvoidance
1767350861741,16.31,2,CongestionAvoidance
1767350861756,16.38,2,CongestionAvoidance
1767350861774,16.44,2,CongestionAvoidance
1767350861789,16.50,2,CongestionAvoidance
1767350861807,16.56,2,CongestionAvoidance
1767350861824,16.62,2,CongestionAvoidance
1767350861841,16.68,2,CongestionAvoidance
1767350861857,16.74,2,CongestionAvoidance
1767350861874,16.80,2,CongestionAvoidance
1767350861889,16.86,2,CongestionAvoidance
1767350861906,16.92,2,CongestionAvoidance
1767350861924,16.98,2,CongestionAvoidance
1767350861940,17.04,2,CongestionAvoidance
1767350861957,17.09,2,CongestionAvoidance
1767350861974,17.15,2,CongestionAvoidance
1767350861992,17.21,2,CongestionAvoidance
1767350862007,17.27,2,CongestionAvoidance
1767350862022,17.33,2,CongestionAvoidance
1767350862041,17.38,2,CongestionAvoidance
1767350862055,17.44,2,CongestionAvoidance
1767350862072,17.50,2,CongestionAvoidance
1767350862093,17.56,2,CongestionAvoidance
1767350862106,17.61,2,CongestionAvoidance
1767350862125,17.67,2,CongestionAvoidance
1767350862142,17.73,2,CongestionAvoidance
1767350862158,17.78,2,CongestionAvoidance
1767350862174,17.84,2,CongestionAvoidance
1767350862191,17.90,2,CongestionAvoidance
1767350862207,17.95,2,CongestionAvoidance
1767350862224,18.01,2,CongestionAvoidance
1767350862240,18.06,2,CongestionAvoidance
1767350862256,18.12,2,CongestionAvoidance
1767350862273,18.17,2,CongestionAvoidance
1767350862287,18.23,2,CongestionAvoidance
1767350862304,18.28,2,CongestionAvoidance
1767350862320,18.34,2,CongestionAvoidance
1767350862331,18.39,2,CongestionAvoidance
1767350862358,18.45,2,CongestionAvoidance
1767350862374,18.50,2,CongestionAvoidance
1767350862391,18.56,2,CongestionAvoidance
1767350862408,18.61,2,CongestionAvoidance
